Player,Credits,Player Type,Player Name,Team,Matches Played,Runs,Balls Faced,Fours,Sixes,Dot Balls,25+ Scores,50+ Scores,75+ Scores,100+ Scores,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs,Batting Average,Strike Rate,Wickets,LBW/Bowled Wickets,Runs Conceded,Balls Bowled,Dot Balls Bowled,3+ Wickets,4+ Wickets,5+ Wickets,economy,Balls Bowled in Powerplay,Balls Bowled in Death Overs,Bowling Average,Bowling Strike Rate,Catches,Stumpings,Run-Outs,Catches per Match,Stumpings per Match,Run-Outs per Match,25+ runs per Match,50+ runs per Match,75+ runs per Match,100+ runs per Match,3+ wickets per Match,4+ wickets per Match,5+ wickets per Match,Chennai,Delhi,Mumbai,Kolkata,Bengaluru,Hyderabad,Ahmedabad,Jaipur,Mohali,Lucknow,Dharamsala,Guwahati,Indore,Visakhapatnam,Chennai_matches,Delhi_matches,Mumbai_matches,Kolkata_matches,Bengaluru_matches,Hyderabad_matches,Ahmedabad_matches,Jaipur_matches,Mohali_matches,Lucknow_matches,Dharamsala_matches,Guwahati_matches,Indore_matches,Visakhapatnam_matches,Chennai_avg_fantasy,Delhi_avg_fantasy,Mumbai_avg_fantasy,Kolkata_avg_fantasy,Bengaluru_avg_fantasy,Hyderabad_avg_fantasy,Ahmedabad_avg_fantasy,Jaipur_avg_fantasy,Mohali_avg_fantasy,Lucknow_avg_fantasy,Dharamsala_avg_fantasy,Guwahati_avg_fantasy,Indore_avg_fantasy,Visakhapatnam_avg_fantasy,Total fantasy points,Fantasy points per match,Total current fantasy points,Current Fantasy points per match
AC Agar,,,,,43,249,205,13,13,74,2,1,0,0,0,89,160,5.79,121.46,36,12,1118,961,322,0,0,0,6.98,283,98,31.06,26.69,19,0,3,0.442,0.0,0.07,0.047,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,831.0,46.17,,
AJ Tye,,,,,51,108,89,8,5,43,1,0,0,0,0,40,68,2.12,121.35,70,7,1587,1138,416,8,1,0,8.37,210,342,22.67,16.26,20,0,6,0.392,0.0,0.118,0.02,0.0,0.0,0.0,0.157,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,853.0,53.31,,
JP Behrendorff,,,,,61,43,52,1,1,21,0,0,0,0,0,14,29,0.7,82.69,86,12,1749,1377,577,8,1,0,7.62,551,295,20.34,16.01,19,0,5,0.311,0.0,0.082,0.0,0.0,0.0,0.0,0.131,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,1556.0,70.73,,
M Kelly,,,,,18,34,34,1,1,14,0,0,0,0,0,2,32,1.89,100.0,28,9,524,404,152,1,2,0,7.78,140,82,18.71,14.43,5,0,1,0.278,0.0,0.056,0.0,0.0,0.0,0.0,0.056,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,155.0,38.75,,
P Hatzoglou,,,,,33,23,24,1,0,8,0,0,0,0,0,3,20,0.7,95.83,24,8,864,699,200,1,0,0,7.42,187,51,36.0,29.12,7,0,0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,133.0,16.62,,
L Scott,,,,,7,90,66,5,5,24,0,1,0,0,21,43,26,12.86,136.36,2,1,99,54,9,0,0,0,11.0,18,18,49.5,27.0,1,0,0,0.143,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,250.0,50.0,,
Qais Ahmad,,,,,10,44,35,2,4,17,0,0,0,0,0,11,33,4.4,125.71,13,4,280,240,80,1,0,0,7.0,91,30,21.54,18.46,1,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Kann,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,77,30,5,0,0,0,15.4,18,6,77.0,30.0,1,0,0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA Thompson,,,,,11,52,35,3,3,15,0,0,0,0,11,23,18,4.73,148.57,8,2,175,120,33,2,0,0,8.75,20,32,21.88,15.0,3,0,1,0.273,0.0,0.091,0.0,0.0,0.0,0.0,0.182,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fawad Ahmed,,,,,17,5,3,1,0,1,0,0,0,0,0,0,5,0.29,166.67,15,4,510,412,123,3,0,0,7.43,146,48,34.0,27.47,2,0,0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Kelly,,,,,30,409,352,26,11,122,7,0,0,0,37,231,140,13.63,116.19,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,12,0,4,0.4,0.0,0.133,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,189.0,37.8,,
MJ Swepson,,,,,36,36,27,5,1,11,0,0,0,0,0,5,31,1.0,133.33,24,9,989,764,216,1,0,0,7.77,169,51,41.21,31.83,10,0,1,0.278,0.0,0.028,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,770.0,42.78,,
NJ Maddinson,,,,,20,305,277,25,13,127,1,1,1,0,119,167,8,15.25,110.11,6,2,120,96,28,1,0,0,7.5,30,0,20.0,16.0,9,0,0,0.45,0.0,0.0,0.05,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,104.0,26.0,,
JA Prestwidge,,,,,6,49,37,3,2,12,0,0,0,0,0,15,34,8.17,132.43,3,0,144,99,25,0,0,0,8.73,5,25,48.0,33.0,2,0,0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB Abell,,,,,22,511,402,58,11,152,5,4,0,0,251,241,18,23.23,127.11,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,9,0,1,0.409,0.0,0.045,0.227,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,1014.0,48.29,,
HC Brook,,,,,18,234,219,26,4,99,1,0,0,1,97,80,29,13.0,106.85,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,10,0,0,0.556,0.0,0.0,0.056,0.0,0.0,0.056,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR Marsh,8.0,BAT,Mitchell Marsh,LSG,36,1082,766,95,56,299,7,6,3,1,533,430,82,30.06,141.25,22,3,506,354,98,1,1,0,8.58,91,53,23.0,16.09,8,0,1,0.222,0.0,0.028,0.194,0.167,0.083,0.028,0.028,0.028,0.0,0.0,0.0,0.0,151.0,0.0,104.0,0.0,47.0,44.0,182.0,0.0,0.0,0.0,214.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,37.0,45.665,34.0,151.0,43.5,104.0,40.0,47.0,44.0,60.67,53.0,41.0,0.0,71.33,755.0,68.64,581.0,96.83
SM Boland,,,,,5,15,19,2,0,10,0,0,0,0,0,9,6,3.0,78.95,5,1,183,113,38,0,0,0,9.72,48,20,36.6,22.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,139.0,46.33,,
BR McDermott,,,,,44,1266,903,107,61,348,7,7,2,2,500,582,126,28.77,140.2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,26,1,2,0.591,0.023,0.045,0.159,0.159,0.045,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,1029.0,54.16,,
JP Inglis,,,,,37,861,656,76,28,222,7,5,1,0,245,515,95,23.27,131.25,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,40,10,11,1.081,0.27,0.297,0.189,0.135,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,26.0,42.0,53.0,41.0,0.0,47.5,717.0,55.15,26.0,26.0
TS Mills,,,,,12,1,4,0,0,3,0,0,0,0,0,0,1,0.08,25.0,18,6,385,272,107,4,0,0,8.49,99,43,21.39,15.11,1,0,1,0.083,0.0,0.083,0.0,0.0,0.0,0.0,0.333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ Dwarshuis,,,,,47,330,205,23,19,66,3,1,0,0,0,85,245,7.02,160.98,63,11,1403,1046,388,2,2,2,8.05,248,225,22.27,16.6,9,0,1,0.191,0.0,0.021,0.064,0.021,0.0,0.0,0.043,0.043,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,1576.0,71.64,,
L Pope,,,,,20,1,3,0,0,2,0,0,0,0,0,0,1,0.05,33.33,31,15,591,408,106,1,2,0,8.69,124,50,19.06,13.16,3,0,0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,1175.0,73.44,,
MT Steketee,,,,,24,92,85,4,4,35,1,0,0,0,0,43,49,3.83,108.24,38,3,779,535,203,3,2,1,8.74,240,132,20.5,14.08,6,0,0,0.25,0.0,0.0,0.042,0.0,0.0,0.0,0.125,0.083,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,663.0,73.67,,
JJS Sangha,,,,,22,658,542,54,16,193,7,3,1,0,245,334,58,29.91,121.4,5,1,119,83,20,0,0,0,8.6,12,0,23.8,16.6,16,0,1,0.727,0.0,0.045,0.318,0.136,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,313.0,62.6,,
S Mahmood,,,,,6,2,3,0,0,2,0,0,0,0,0,2,0,0.33,66.67,13,5,212,144,59,0,1,0,8.83,30,25,16.31,11.08,1,0,1,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Parker,,,,,5,35,25,3,1,7,1,0,0,0,0,2,33,7.0,140.0,1,0,141,81,14,0,0,0,10.44,7,6,141.0,81.0,1,0,0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR Hobson,,,,,31,395,296,31,18,108,6,0,0,0,57,187,143,12.74,133.45,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,22,0,2,0.71,0.0,0.065,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,496.0,35.43,,
MT Renshaw,,,,,42,1044,767,80,32,236,15,3,1,0,312,563,162,24.86,136.11,3,2,98,79,18,0,0,0,7.44,12,19,32.67,26.33,20,0,1,0.476,0.0,0.024,0.357,0.071,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,901.0,47.42,,
HJ Hunt,,,,,10,154,150,13,4,71,3,0,0,0,97,48,0,15.4,102.67,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,4,0,0,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Finch,,,,,34,966,814,78,35,327,6,6,3,0,301,475,168,28.41,118.67,0,0,10,6,0,0,0,0,10.0,0,0,0.0,0.0,6,0,0,0.176,0.0,0.0,0.176,0.176,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,114.0,28.5,,
CD Hinchliffe,,,,,10,28,38,1,1,20,0,0,0,0,1,14,12,2.8,73.68,8,0,200,156,45,0,0,0,7.69,42,12,25.0,19.5,3,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA Burns,,,,,8,135,140,8,3,56,1,0,0,0,80,53,0,16.88,96.43,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1,0,0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,36.0,36.0,,
MW Edwards,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,19,13,4,0,0,0,8.77,7,0,19.0,13.0,3,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR Morris,,,,,28,1,5,0,0,4,0,0,0,0,0,0,1,0.04,20.0,39,2,776,615,247,4,0,1,7.57,244,64,19.9,15.77,5,0,1,0.179,0.0,0.036,0.0,0.0,0.0,0.0,0.143,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,1138.0,66.94,,
Shadab Khan,,,,,8,78,72,6,2,29,0,0,0,0,18,48,12,9.75,108.33,8,0,218,169,38,1,0,0,7.74,54,24,27.25,21.12,2,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haris Rauf,,,,,9,17,22,1,1,13,0,0,0,0,0,2,15,1.89,77.27,15,8,265,197,63,2,0,0,8.07,42,61,17.67,13.13,4,0,0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,292.0,73.0,,
CJM Sabburg,,,,,4,10,10,1,0,4,0,0,0,0,0,3,7,2.5,100.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1,0,1,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O Davies,,,,,39,744,601,51,30,226,9,3,0,0,160,483,96,19.08,123.79,0,0,33,26,4,0,0,0,7.62,0,0,0.0,0.0,11,0,1,0.282,0.0,0.026,0.231,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,618.0,34.33,,
AJ Nair,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,8,6,1,0,0,0,8.0,6,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Doggett,,,,,20,56,57,6,2,34,1,0,0,0,4,28,24,2.8,98.25,14,1,517,378,143,0,1,0,8.21,133,39,36.93,27.0,6,0,2,0.3,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,302.0,43.14,,
LD Hearne,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL O'Connell,,,,,5,3,10,0,0,7,0,0,0,0,0,3,0,0.6,30.0,4,1,61,50,13,0,0,0,7.32,12,0,15.25,12.5,4,0,1,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA Crone,,,,,3,2,6,0,0,4,0,0,0,0,0,0,2,0.67,33.33,0,0,51,30,4,0,0,0,10.2,6,0,0.0,0.0,0,0,1,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,5.0,5.0,,
CA Wakim,,,,,7,67,79,7,1,44,0,0,0,0,40,14,6,9.57,84.81,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,2,0,2,0.286,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,95.0,19.0,,
TF Rogers,,,,,34,589,502,66,12,208,8,1,0,0,421,104,0,17.32,117.33,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,18,0,1,0.529,0.0,0.029,0.235,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,513.0,27.0,,
J Avendano,,,,,8,101,89,5,7,44,0,1,0,0,26,16,55,12.62,113.48,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Hasnain,,,,,7,4,3,1,0,2,0,0,0,0,0,0,4,0.57,133.33,8,4,186,154,66,2,0,0,7.25,50,12,23.25,19.25,0,0,1,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,49.0,24.5,,
JD Cook,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Dean,,,,,1,32,26,3,0,6,1,0,0,0,26,5,0,32.0,123.08,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Rowe,,,,,1,3,6,0,0,3,0,0,0,0,0,3,0,3.0,50.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Marsh,,,,,18,614,471,66,17,172,4,6,1,0,229,314,39,34.11,130.36,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,3,0,1,0.167,0.0,0.056,0.222,0.333,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,335.0,67.0,,
Ahmed Daniyal,,,,,3,1,2,0,0,1,0,0,0,0,0,0,1,0.33,50.0,3,2,91,64,19,0,0,0,8.53,13,19,30.33,21.33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
